TIME,GEO,SEX,AGE,ACL00,FREQUENC,VALUE
2006,BE,T,Y16-24,AC52A,NM12,1.9
2015,BE,T,Y16-24,AC52A,NM12,3.5
2022,BE,T,Y16-24,AC52A,NM12,12
2006,BG,T,Y16-24,AC52A,NM12,18.9
2015,BG,T,Y16-24,AC52A,NM12,7.8
2022,BG,T,Y16-24,AC52A,NM12,30.4
2006,CZ,T,Y16-24,AC52A,NM12,6.1
2015,CZ,T,Y16-24,AC52A,NM12,2.3
2022,CZ,T,Y16-24,AC52A,NM12,1.1
2015,DK,T,Y16-24,AC52A,NM12,2.6
2022,DK,T,Y16-24,AC52A,NM12,9.8
2006,DE,T,Y16-24,AC52A,NM12,2
2015,DE,T,Y16-24,AC52A,NM12,4
2006,EE,T,Y16-24,AC52A,NM12,3.9
2015,EE,T,Y16-24,AC52A,NM12,0
2022,EE,T,Y16-24,AC52A,NM12,4.3
2006,IE,T,Y16-24,AC52A,NM12,59.5
2015,IE,T,Y16-24,AC52A,NM12,13
2022,IE,T,Y16-24,AC52A,NM12,18.1
2006,EL,T,Y16-24,AC52A,NM12,8.4
2015,EL,T,Y16-24,AC52A,NM12,13.1
2022,EL,T,Y16-24,AC52A,NM12,32
2006,ES,T,Y16-24,AC52A,NM12,3.4
2015,ES,T,Y16-24,AC52A,NM12,8.1
2022,ES,T,Y16-24,AC52A,NM12,7.6
2006,FR,T,Y16-24,AC52A,NM12,3
2015,FR,T,Y16-24,AC52A,NM12,1.6
2022,FR,T,Y16-24,AC52A,NM12,12.4
2015,HR,T,Y16-24,AC52A,NM12,6.6
2022,HR,T,Y16-24,AC52A,NM12,20.4
2006,IT,T,Y16-24,AC52A,NM12,4.6
2015,IT,T,Y16-24,AC52A,NM12,13
2022,IT,T,Y16-24,AC52A,NM12,32.6
2006,CY,T,Y16-24,AC52A,NM12,15.6
2015,CY,T,Y16-24,AC52A,NM12,8.6
2022,CY,T,Y16-24,AC52A,NM12,41
2006,LV,T,Y16-24,AC52A,NM12,4.4
2015,LV,T,Y16-24,AC52A,NM12,7
2022,LV,T,Y16-24,AC52A,NM12,22.5
2006,LT,T,Y16-24,AC52A,NM12,11.2
2015,LT,T,Y16-24,AC52A,NM12,6.7
2022,LT,T,Y16-24,AC52A,NM12,20.5
2006,LU,T,Y16-24,AC52A,NM12,0.6
2015,LU,T,Y16-24,AC52A,NM12,0
2022,LU,T,Y16-24,AC52A,NM12,6.4
2006,HU,T,Y16-24,AC52A,NM12,8.8
2015,HU,T,Y16-24,AC52A,NM12,8.7
2022,HU,T,Y16-24,AC52A,NM12,20.1
2006,MT,T,Y16-24,AC52A,NM12,8.4
2015,MT,T,Y16-24,AC52A,NM12,15.4
2022,MT,T,Y16-24,AC52A,NM12,24.2
2006,NL,T,Y16-24,AC52A,NM12,31.6
2015,NL,T,Y16-24,AC52A,NM12,0.6
2022,NL,T,Y16-24,AC52A,NM12,15.5
2006,AT,T,Y16-24,AC52A,NM12,6
2015,AT,T,Y16-24,AC52A,NM12,2.6
2022,AT,T,Y16-24,AC52A,NM12,21.4
2006,PL,T,Y16-24,AC52A,NM12,7.7
2015,PL,T,Y16-24,AC52A,NM12,2.7
2022,PL,T,Y16-24,AC52A,NM12,3.9
2006,PT,T,Y16-24,AC52A,NM12,5.6
2015,PT,T,Y16-24,AC52A,NM12,2.1
2022,PT,T,Y16-24,AC52A,NM12,8.4
2015,RO,T,Y16-24,AC52A,NM12,25.3
2022,RO,T,Y16-24,AC52A,NM12,40.5
2006,SI,T,Y16-24,AC52A,NM12,52.5
2015,SI,T,Y16-24,AC52A,NM12,4.4
2022,SI,T,Y16-24,AC52A,NM12,44
2006,SK,T,Y16-24,AC52A,NM12,5.1
2015,SK,T,Y16-24,AC52A,NM12,6.2
2022,SK,T,Y16-24,AC52A,NM12,20.7
2006,FI,T,Y16-24,AC52A,NM12,21.4
2022,FI,T,Y16-24,AC52A,NM12,14.9
2006,SE,T,Y16-24,AC52A,NM12,22.1
2015,SE,T,Y16-24,AC52A,NM12,1.5
2022,SE,T,Y16-24,AC52A,NM12,11.3
2006,IS,T,Y16-24,AC52A,NM12,32.5
2006,NO,T,Y16-24,AC52A,NM12,17.1
2015,NO,T,Y16-24,AC52A,NM12,3.1
2022,NO,T,Y16-24,AC52A,NM12,9.5
2015,CH,T,Y16-24,AC52A,NM12,0.8
2022,CH,T,Y16-24,AC52A,NM12,9
2006,UK,T,Y16-24,AC52A,NM12,3.7
2015,UK,T,Y16-24,AC52A,NM12,8.3
2015,ME,T,Y16-24,AC52A,NM12,19.6
2022,ME,T,Y16-24,AC52A,NM12,41.9
2015,MK,T,Y16-24,AC52A,NM12,30.7
2015,RS,T,Y16-24,AC52A,NM12,24.2
2022,RS,T,Y16-24,AC52A,NM12,24.7
2022,TR,T,Y16-24,AC52A,NM12,48.5
2006,BE,M,Y16-24,AC52A,NM12,0.7
2015,BE,M,Y16-24,AC52A,NM12,2.5
2022,BE,M,Y16-24,AC52A,NM12,11.1
2015,CZ,M,Y16-24,AC52A,NM12,0
2022,DK,M,Y16-24,AC52A,NM12,7.1
2006,DE,M,Y16-24,AC52A,NM12,3.1
2015,DE,M,Y16-24,AC52A,NM12,8.3
2006,EE,M,Y16-24,AC52A,NM12,5.1
2006,IE,M,Y16-24,AC52A,NM12,67.6
2015,IE,M,Y16-24,AC52A,NM12,20.5
2022,IE,M,Y16-24,AC52A,NM12,25.3
2006,EL,M,Y16-24,AC52A,NM12,11
2015,EL,M,Y16-24,AC52A,NM12,22.4
2022,EL,M,Y16-24,AC52A,NM12,39.3
2006,ES,M,Y16-24,AC52A,NM12,4.4
2015,ES,M,Y16-24,AC52A,NM12,9.7
2022,ES,M,Y16-24,AC52A,NM12,8.7
2006,FR,M,Y16-24,AC52A,NM12,3.9
2015,FR,M,Y16-24,AC52A,NM12,1.1
2022,FR,M,Y16-24,AC52A,NM12,15.9
2015,HR,M,Y16-24,AC52A,NM12,4.4
2022,HR,M,Y16-24,AC52A,NM12,17.6
2006,IT,M,Y16-24,AC52A,NM12,3.3
2015,IT,M,Y16-24,AC52A,NM12,11.6
2022,IT,M,Y16-24,AC52A,NM12,35.4
2006,CY,M,Y16-24,AC52A,NM12,15.1
2015,CY,M,Y16-24,AC52A,NM12,4.2
2022,CY,M,Y16-24,AC52A,NM12,52.8
2006,LV,M,Y16-24,AC52A,NM12,10.5
2015,LV,M,Y16-24,AC52A,NM12,12
2006,LT,M,Y16-24,AC52A,NM12,14.8
2015,LT,M,Y16-24,AC52A,NM12,13.1
2022,LT,M,Y16-24,AC52A,NM12,23.7
2006,LU,M,Y16-24,AC52A,NM12,0
2015,LU,M,Y16-24,AC52A,NM12,0
2022,LU,M,Y16-24,AC52A,NM12,1.6
2006,HU,M,Y16-24,AC52A,NM12,10.9
2015,HU,M,Y16-24,AC52A,NM12,19
2022,HU,M,Y16-24,AC52A,NM12,28
2006,MT,M,Y16-24,AC52A,NM12,13.3
2015,MT,M,Y16-24,AC52A,NM12,15.8
2022,MT,M,Y16-24,AC52A,NM12,21.7
2006,NL,M,Y16-24,AC52A,NM12,37.3
2015,NL,M,Y16-24,AC52A,NM12,0
2022,NL,M,Y16-24,AC52A,NM12,21.9
2006,AT,M,Y16-24,AC52A,NM12,7.4
2015,AT,M,Y16-24,AC52A,NM12,3.8
2022,AT,M,Y16-24,AC52A,NM12,25.4
2006,PL,M,Y16-24,AC52A,NM12,5.4
2015,PL,M,Y16-24,AC52A,NM12,2.3
2022,PL,M,Y16-24,AC52A,NM12,7.8
2015,PT,M,Y16-24,AC52A,NM12,4.7
2022,PT,M,Y16-24,AC52A,NM12,9
2015,RO,M,Y16-24,AC52A,NM12,26
2022,RO,M,Y16-24,AC52A,NM12,28.4
2015,SI,M,Y16-24,AC52A,NM12,5.2
2022,SI,M,Y16-24,AC52A,NM12,36.7
2006,SK,M,Y16-24,AC52A,NM12,4.3
2015,SK,M,Y16-24,AC52A,NM12,9.4
2022,SK,M,Y16-24,AC52A,NM12,21
2006,SE,M,Y16-24,AC52A,NM12,18.9
2015,SE,M,Y16-24,AC52A,NM12,0
2022,SE,M,Y16-24,AC52A,NM12,14.2
2006,NO,M,Y16-24,AC52A,NM12,13.9
2015,NO,M,Y16-24,AC52A,NM12,3.3
2022,NO,M,Y16-24,AC52A,NM12,11
2015,CH,M,Y16-24,AC52A,NM12,0
2022,CH,M,Y16-24,AC52A,NM12,0
2006,UK,M,Y16-24,AC52A,NM12,3.5
2015,UK,M,Y16-24,AC52A,NM12,7.7
2015,ME,M,Y16-24,AC52A,NM12,32.2
2022,ME,M,Y16-24,AC52A,NM12,40.4
2015,MK,M,Y16-24,AC52A,NM12,26.5
2015,RS,M,Y16-24,AC52A,NM12,37.9
2022,RS,M,Y16-24,AC52A,NM12,30.7
2022,TR,M,Y16-24,AC52A,NM12,48.8
2006,BE,F,Y16-24,AC52A,NM12,2.6
2015,BE,F,Y16-24,AC52A,NM12,4.2
2022,BE,F,Y16-24,AC52A,NM12,12.5
2006,BG,F,Y16-24,AC52A,NM12,22.3
2015,BG,F,Y16-24,AC52A,NM12,8.3
2022,BG,F,Y16-24,AC52A,NM12,31.4
2006,CZ,F,Y16-24,AC52A,NM12,9.2
2015,CZ,F,Y16-24,AC52A,NM12,4.2
2022,CZ,F,Y16-24,AC52A,NM12,1.7
2022,DK,F,Y16-24,AC52A,NM12,11.6
2006,DE,F,Y16-24,AC52A,NM12,0.3
2015,DE,F,Y16-24,AC52A,NM12,0
2006,EE,F,Y16-24,AC52A,NM12,3.4
2015,EE,F,Y16-24,AC52A,NM12,0
2022,EE,F,Y16-24,AC52A,NM12,2.9
2006,IE,F,Y16-24,AC52A,NM12,55.7
2015,IE,F,Y16-24,AC52A,NM12,6.9
2022,IE,F,Y16-24,AC52A,NM12,12.4
2006,EL,F,Y16-24,AC52A,NM12,7.2
2015,EL,F,Y16-24,AC52A,NM12,8.9
2022,EL,F,Y16-24,AC52A,NM12,26.3
2006,ES,F,Y16-24,AC52A,NM12,2.7
2015,ES,F,Y16-24,AC52A,NM12,6.9
2022,ES,F,Y16-24,AC52A,NM12,6.6
2006,FR,F,Y16-24,AC52A,NM12,2.4
2015,FR,F,Y16-24,AC52A,NM12,2
2022,FR,F,Y16-24,AC52A,NM12,9.5
2015,HR,F,Y16-24,AC52A,NM12,8.1
2022,HR,F,Y16-24,AC52A,NM12,22.3
2006,IT,F,Y16-24,AC52A,NM12,5.1
2015,IT,F,Y16-24,AC52A,NM12,14.2
2022,IT,F,Y16-24,AC52A,NM12,30.5
2006,CY,F,Y16-24,AC52A,NM12,15.8
2015,CY,F,Y16-24,AC52A,NM12,10.1
2022,CY,F,Y16-24,AC52A,NM12,34.4
2006,LV,F,Y16-24,AC52A,NM12,0.6
2015,LV,F,Y16-24,AC52A,NM12,3.6
2022,LV,F,Y16-24,AC52A,NM12,8.6
2006,LT,F,Y16-24,AC52A,NM12,8.1
2015,LT,F,Y16-24,AC52A,NM12,1.5
2022,LT,F,Y16-24,AC52A,NM12,16.1
2006,LU,F,Y16-24,AC52A,NM12,1.1
2015,LU,F,Y16-24,AC52A,NM12,0
2022,LU,F,Y16-24,AC52A,NM12,11.8
2006,HU,F,Y16-24,AC52A,NM12,7.3
2015,HU,F,Y16-24,AC52A,NM12,3.6
2022,HU,F,Y16-24,AC52A,NM12,13.6
2006,MT,F,Y16-24,AC52A,NM12,4.8
2015,MT,F,Y16-24,AC52A,NM12,15.1
2022,MT,F,Y16-24,AC52A,NM12,25.8
2006,NL,F,Y16-24,AC52A,NM12,28.5
2015,NL,F,Y16-24,AC52A,NM12,0.9
2022,NL,F,Y16-24,AC52A,NM12,8.1
2006,AT,F,Y16-24,AC52A,NM12,4.9
2015,AT,F,Y16-24,AC52A,NM12,1.7
2022,AT,F,Y16-24,AC52A,NM12,18.2
2006,PL,F,Y16-24,AC52A,NM12,8.6
2015,PL,F,Y16-24,AC52A,NM12,2.9
2022,PL,F,Y16-24,AC52A,NM12,2.2
2006,PT,F,Y16-24,AC52A,NM12,4.1
2015,PT,F,Y16-24,AC52A,NM12,0.9
2022,PT,F,Y16-24,AC52A,NM12,8.1
2015,RO,F,Y16-24,AC52A,NM12,24.8
2022,RO,F,Y16-24,AC52A,NM12,55.8
2006,SI,F,Y16-24,AC52A,NM12,49
2015,SI,F,Y16-24,AC52A,NM12,4
2022,SI,F,Y16-24,AC52A,NM12,52.6
2006,SK,F,Y16-24,AC52A,NM12,5.7
2015,SK,F,Y16-24,AC52A,NM12,4.4
2022,SK,F,Y16-24,AC52A,NM12,20.6
2006,FI,F,Y16-24,AC52A,NM12,15.5
2006,SE,F,Y16-24,AC52A,NM12,23.7
2015,SE,F,Y16-24,AC52A,NM12,2.2
2022,SE,F,Y16-24,AC52A,NM12,9.2
2006,NO,F,Y16-24,AC52A,NM12,19.4
2015,NO,F,Y16-24,AC52A,NM12,3
2022,NO,F,Y16-24,AC52A,NM12,8.7
2015,CH,F,Y16-24,AC52A,NM12,1.4
2022,CH,F,Y16-24,AC52A,NM12,12.6
2006,UK,F,Y16-24,AC52A,NM12,3.9
2015,UK,F,Y16-24,AC52A,NM12,8.7
2015,ME,F,Y16-24,AC52A,NM12,10.1
2022,ME,F,Y16-24,AC52A,NM12,43.4
2015,MK,F,Y16-24,AC52A,NM12,32.9
2015,RS,F,Y16-24,AC52A,NM12,13.4
2022,RS,F,Y16-24,AC52A,NM12,20.5
2022,TR,F,Y16-24,AC52A,NM12,48.3
2006,BE,T,Y25-34,AC52A,NM12,7.9
