TIME,GEO,VALUE
2000,Belgium,29890
2001,Belgium,30110
2002,Belgium,30490
2003,Belgium,30680
2004,Belgium,31640
2005,Belgium,32200
2006,Belgium,32800
2007,Belgium,33760
2008,Belgium,33640
2009,Belgium,32700
2010,Belgium,33330
2011,Belgium,33460
2012,Belgium,33490
2013,Belgium,33490
2014,Belgium,33870
2015,Belgium,34360
2016,Belgium,34620
2017,Belgium,35050
2018,Belgium,35510
2019,Belgium,36110
2020,Belgium,34010
2021,Belgium,35950
2022,Belgium,36740
2000,Bulgaria,2990
2001,Bulgaria,3210
2002,Bulgaria,3420
2003,Bulgaria,3620
2004,Bulgaria,3870
2005,Bulgaria,4170
2006,Bulgaria,4480
2007,Bulgaria,4800
2008,Bulgaria,5120
2009,Bulgaria,4970
2010,Bulgaria,5080
2011,Bulgaria,5320
2012,Bulgaria,5390
2013,Bulgaria,5390
2014,Bulgaria,5470
2015,Bulgaria,5700
2016,Bulgaria,5910
2017,Bulgaria,6120
2018,Bulgaria,6330
2019,Bulgaria,6630
2020,Bulgaria,6410
2021,Bulgaria,6950
2000,Czechia,11230
2001,Czechia,11620
2002,Czechia,11830
2003,Czechia,12260
2004,Czechia,12840
2005,Czechia,13650
2006,Czechia,14530
2007,Czechia,15250
2008,Czechia,15500
2009,Czechia,14690
2010,Czechia,15020
2011,Czechia,15310
2012,Czechia,15170
2013,Czechia,15160
2014,Czechia,15480
2015,Czechia,16290
2016,Czechia,16670
2017,Czechia,17490
2018,Czechia,17990
2019,Czechia,18460
2020,Czechia,17400
2021,Czechia,18020
2022,Czechia,18470
2000,Denmark,42190
2001,Denmark,42390
2002,Denmark,42430
2003,Denmark,42490
2004,Denmark,43520
2005,Denmark,44400
2006,Denmark,45990
2007,Denmark,46210
2008,Denmark,45700
2009,Denmark,43220
2010,Denmark,43840
2011,Denmark,44240
2012,Denmark,44170
2013,Denmark,44410
2014,Denmark,44890
2015,Denmark,45630
2016,Denmark,46720
2017,Denmark,47740
2018,Denmark,48450
2019,Denmark,48970
2020,Denmark,47890
2021,Denmark,50010
2022,Denmark,51370
2000,Germany (until 1990 former territory of the FRG),28910
2001,Germany (until 1990 former territory of the FRG),29370
2002,Germany (until 1990 former territory of the FRG),29290
2003,Germany (until 1990 former territory of the FRG),29100
2004,Germany (until 1990 former territory of the FRG),29470
2005,Germany (until 1990 former territory of the FRG),29730
2006,Germany (until 1990 former territory of the FRG),30930
2007,Germany (until 1990 former territory of the FRG),31920
2008,Germany (until 1990 former territory of the FRG),32320
2009,Germany (until 1990 former territory of the FRG),30580
2010,Germany (until 1990 former territory of the FRG),31940
2011,Germany (until 1990 former territory of the FRG),33200
2012,Germany (until 1990 former territory of the FRG),33280
2013,Germany (until 1990 former territory of the FRG),33330
2014,Germany (until 1990 former territory of the FRG),33920
2015,Germany (until 1990 former territory of the FRG),34130
2016,Germany (until 1990 former territory of the FRG),34610
2017,Germany (until 1990 former territory of the FRG),35410
2018,Germany (until 1990 former territory of the FRG),35650
2019,Germany (until 1990 former territory of the FRG),35950
2020,Germany (until 1990 former territory of the FRG),34590
2021,Germany (until 1990 former territory of the FRG),35480
2022,Germany (until 1990 former territory of the FRG),35860
2000,Estonia,7540
2001,Estonia,8040
2002,Estonia,8640
2003,Estonia,9350
2004,Estonia,10050
2005,Estonia,11070
2006,Estonia,12230
2007,Estonia,13230
2008,Estonia,12590
2009,Estonia,10770
2010,Estonia,11060
2011,Estonia,11890
2012,Estonia,12320
2013,Estonia,12540
2014,Estonia,12960
2015,Estonia,13230
2016,Estonia,13620
2017,Estonia,14410
2018,Estonia,14920
2019,Estonia,15410
2020,Estonia,15280
2021,Estonia,16490
2022,Estonia,16250
2000,Ireland,33280
2001,Ireland,34510
2002,Ireland,35910
2003,Ireland,36390
2004,Ireland,38190
2005,Ireland,39480
2006,Ireland,40390
2007,Ireland,41270
2008,Ireland,38580
2009,Ireland,36270
2010,Ireland,36710
2011,Ireland,36860
2012,Ireland,36710
2013,Ireland,36940
2014,Ireland,39860
2015,Ireland,49110
2016,Ireland,49540
2017,Ireland,53400
2018,Ireland,57260
2019,Ireland,59560
2020,Ireland,62570
2021,Ireland,70530
2022,Ireland,77490
2000,Greece,17430
2001,Greece,18050
2002,Greece,18690
2003,Greece,19730
2004,Greece,20670
2005,Greece,20740
2006,Greece,21840
2007,Greece,22500
2008,Greece,22370
2009,Greece,21350
2010,Greece,20150
2011,Greece,18130
2012,Greece,16940
2013,Greece,16630
2014,Greece,16830
2015,Greece,16900
2016,Greece,16890
2017,Greece,17110
2018,Greece,17430
2019,Greece,17780
2020,Greece,16210
2021,Greece,17610
2000,Spain,21460
2001,Spain,22190
2002,Spain,22430
2003,Spain,22680
2004,Spain,23020
2005,Spain,23420
2006,Spain,24000
2007,Spain,24380
2008,Spain,24200
2009,Spain,23100
2010,Spain,23040
2011,Spain,22770
2012,Spain,22080
2013,Spain,21850
2014,Spain,22220
2015,Spain,23090
2016,Spain,23780
2017,Spain,24440
2018,Spain,24890
2019,Spain,25180
2020,Spain,22210
2021,Spain,23450
2022,Spain,24590
2000,France,28930
2001,France,29290
2002,France,29410
2003,France,29440
2004,France,30050
2005,France,30320
2006,France,30850
2007,France,31400
2008,France,31310
2009,France,30250
2010,France,30690
2011,France,31210
2012,France,31160
2013,France,31170
2014,France,31320
2015,France,31540
2016,France,31770
2017,France,32360
2018,France,32800
2019,France,33250
2020,France,30550
2021,France,32530
2022,France,33230
2000,Croatia,7940
2001,Croatia,8510
2002,Croatia,9000
2003,Croatia,9500
2004,Croatia,9890
2005,Croatia,10310
2006,Croatia,10810
2007,Croatia,11350
2008,Croatia,11580
2009,Croatia,10760
2010,Croatia,10650
2011,Croatia,10680
2012,Croatia,10460
2013,Croatia,10450
2014,Croatia,10460
2015,Croatia,10790
2016,Croatia,11270
2017,Croatia,11770
2018,Croatia,12220
2019,Croatia,12710
2020,Croatia,11680
2021,Croatia,13500
2022,Croatia,14540
2000,Italy,27430
2001,Italy,27950
2002,Italy,27960
2003,Italy,27850
2004,Italy,28040
2005,Italy,28100
2006,Italy,28490
2007,Italy,28740
2008,Italy,28250
2009,Italy,26600
2010,Italy,26940
2011,Italy,27030
2012,Italy,26160
2013,Italy,25620
2014,Italy,25620
2015,Italy,25860
2016,Italy,26240
2017,Italy,26730
2018,Italy,27030
2019,Italy,27230
2020,Italy,24910
2021,Italy,26780
2022,Italy,27860
2000,Cyprus,20130
2001,Cyprus,20700
2002,Cyprus,21230
2003,Cyprus,21520
2004,Cyprus,22300
2005,Cyprus,23050
2006,Cyprus,23740
2007,Cyprus,24420
2008,Cyprus,24680
2009,Cyprus,23550
2010,Cyprus,23460
2011,Cyprus,22970
2012,Cyprus,21840
2013,Cyprus,20450
2014,Cyprus,20310
2015,Cyprus,21120
2016,Cyprus,22410
2017,Cyprus,23470
2018,Cyprus,24500
2019,Cyprus,25500
2020,Cyprus,24110
2021,Cyprus,25480
2022,Cyprus,26550
