TIME,GEO,SEX,AGE,VALUE
2008,Belgium,Total,Total,10666866
2009,Belgium,Total,Total,10753080
2010,Belgium,Total,Total,10839905
2011,Belgium,Total,Total,11000638
2012,Belgium,Total,Total,11075889
2013,Belgium,Total,Total,11137974
2014,Belgium,Total,Total,11180840
2015,Belgium,Total,Total,11237274
2016,Belgium,Total,Total,11311117
2017,Belgium,Total,Total,11351727
2018,Belgium,Total,Total,11398589
2019,Belgium,Total,Total,11455519
2020,Belgium,Total,Total,11522440
2021,Belgium,Total,Total,11554767
2022,Belgium,Total,Total,11617623
2023,Belgium,Total,Total,11742796
2008,Bulgaria,Total,Total,7518002
2009,Bulgaria,Total,Total,7467119
2010,Bulgaria,Total,Total,7421766
2011,Bulgaria,Total,Total,7369431
2012,Bulgaria,Total,Total,7327224
2013,Bulgaria,Total,Total,7202556
2014,Bulgaria,Total,Total,7117453
2015,Bulgaria,Total,Total,7029690
2016,Bulgaria,Total,Total,6938759
2017,Bulgaria,Total,Total,6849518
2018,Bulgaria,Total,Total,6757418
2019,Bulgaria,Total,Total,6664177
2020,Bulgaria,Total,Total,6569275
2021,Bulgaria,Total,Total,6532117
2022,Bulgaria,Total,Total,6482484
2023,Bulgaria,Total,Total,6447710
2008,Czechia,Total,Total,10343422
2009,Czechia,Total,Total,10425783
2010,Czechia,Total,Total,10462088
2011,Czechia,Total,Total,10486731
2012,Czechia,Total,Total,10505445
2013,Czechia,Total,Total,10516125
2014,Czechia,Total,Total,10512419
2015,Czechia,Total,Total,10538275
2016,Czechia,Total,Total,10553843
2017,Czechia,Total,Total,10578820
2018,Czechia,Total,Total,10610055
2019,Czechia,Total,Total,10649800
2020,Czechia,Total,Total,10693939
2021,Czechia,Total,Total,10494836
2022,Czechia,Total,Total,10516707
2023,Czechia,Total,Total,10827529
2008,Denmark,Total,Total,5475791
2009,Denmark,Total,Total,5511451
2010,Denmark,Total,Total,5534738
2011,Denmark,Total,Total,5560628
2012,Denmark,Total,Total,5580516
2013,Denmark,Total,Total,5602628
2014,Denmark,Total,Total,5627235
2015,Denmark,Total,Total,5659715
2016,Denmark,Total,Total,5707251
2017,Denmark,Total,Total,5748769
2018,Denmark,Total,Total,5781190
2019,Denmark,Total,Total,5806081
2020,Denmark,Total,Total,5822763
2021,Denmark,Total,Total,5840045
2022,Denmark,Total,Total,5873420
2023,Denmark,Total,Total,5932654
2008,Germany,Total,Total,82217837
2009,Germany,Total,Total,82002356
2010,Germany,Total,Total,81802257
2011,Germany,Total,Total,80222065
2012,Germany,Total,Total,80327900
2013,Germany,Total,Total,80523746
2014,Germany,Total,Total,80767463
2015,Germany,Total,Total,81197537
2016,Germany,Total,Total,82175684
2017,Germany,Total,Total,82521653
2018,Germany,Total,Total,82792351
2019,Germany,Total,Total,83019213
2020,Germany,Total,Total,83166711
2021,Germany,Total,Total,83155031
2022,Germany,Total,Total,83237124
2023,Germany,Total,Total,84358845
2008,Estonia,Total,Total,1338440
2009,Estonia,Total,Total,1335740
2010,Estonia,Total,Total,1333290
2011,Estonia,Total,Total,1329660
2012,Estonia,Total,Total,1325217
2013,Estonia,Total,Total,1320174
2014,Estonia,Total,Total,1315819
2015,Estonia,Total,Total,1314870
2016,Estonia,Total,Total,1315944
2017,Estonia,Total,Total,1315635
2018,Estonia,Total,Total,1319133
2019,Estonia,Total,Total,1324820
2020,Estonia,Total,Total,1328976
2021,Estonia,Total,Total,1330068
2022,Estonia,Total,Total,1331796
2023,Estonia,Total,Total,1365884
2008,Ireland,Total,Total,4457765
2009,Ireland,Total,Total,4521322
2010,Ireland,Total,Total,4549428
2011,Ireland,Total,Total,4570881
2012,Ireland,Total,Total,4589287
2013,Ireland,Total,Total,4609779
2014,Ireland,Total,Total,4637852
2015,Ireland,Total,Total,4677627
2016,Ireland,Total,Total,4726286
2017,Ireland,Total,Total,4784383
2018,Ireland,Total,Total,4830392
2019,Ireland,Total,Total,4904240
2020,Ireland,Total,Total,4964440
2021,Ireland,Total,Total,5006324
2022,Ireland,Total,Total,5060004
2023,Ireland,Total,Total,5271395
2008,Greece,Total,Total,11060937
2009,Greece,Total,Total,11094745
2010,Greece,Total,Total,11119289
2011,Greece,Total,Total,11123392
2012,Greece,Total,Total,11086406
2013,Greece,Total,Total,11003615
2014,Greece,Total,Total,10926807
2015,Greece,Total,Total,10858018
2016,Greece,Total,Total,10783748
2017,Greece,Total,Total,10768193
2018,Greece,Total,Total,10741165
2019,Greece,Total,Total,10724599
2020,Greece,Total,Total,10718565
2021,Greece,Total,Total,10678632
2022,Greece,Total,Total,10459782
2023,Greece,Total,Total,10413982
2008,Spain,Total,Total,45668939
2009,Spain,Total,Total,46239273
2010,Spain,Total,Total,46486619
2011,Spain,Total,Total,46667174
2012,Spain,Total,Total,46818219
2013,Spain,Total,Total,46727890
2014,Spain,Total,Total,46512199
2015,Spain,Total,Total,46449565
2016,Spain,Total,Total,46440099
2017,Spain,Total,Total,46528024
2018,Spain,Total,Total,46658447
2019,Spain,Total,Total,46937060
2020,Spain,Total,Total,47332614
2021,Spain,Total,Total,47398695
2022,Spain,Total,Total,47432893
2023,Spain,Total,Total,48085361
2008,France,Total,Total,64007193
2009,France,Total,Total,64350226
2010,France,Total,Total,64658856
2011,France,Total,Total,64978721
2012,France,Total,Total,65276983
2013,France,Total,Total,65600350
2014,France,Total,Total,66165980
2015,France,Total,Total,66458153
2016,France,Total,Total,66638391
2017,France,Total,Total,66809816
2018,France,Total,Total,67026224
2019,France,Total,Total,67290471
2020,France,Total,Total,67473651
2021,France,Total,Total,67728568
2022,France,Total,Total,67957053
2023,France,Total,Total,68172977
2008,Croatia,Total,Total,4311967
2009,Croatia,Total,Total,4309796
2010,Croatia,Total,Total,4302847
2011,Croatia,Total,Total,4289857
2012,Croatia,Total,Total,4275984
2013,Croatia,Total,Total,4247803
2014,Croatia,Total,Total,4217632
2015,Croatia,Total,Total,4180915
