GEO,UNIT,SEX,NACE_R2,ISCED11,VALUE
Bulgaria,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,607
Czechia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1235
Denmark,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4493
Germany,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3370
Estonia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1386
Ireland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3786
Spain,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2061
France,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2846
Croatia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1186
Italy,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2553
Cyprus,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1936
Latvia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1162
Lithuania,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,981
Luxembourg,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4712
Hungary,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,977
Malta,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2109
Netherlands,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3130
Poland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1108
Romania,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,972
Slovenia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1743
Slovakia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1161
Finland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3379
Sweden,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3496
Iceland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4922
Norway,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,4772
Switzerland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,6622
United Kingdom,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3266
North Macedonia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,600
Serbia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,631
Bulgaria,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1168
Czechia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1682
Denmark,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3174
Germany,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3155
Estonia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1670
Ireland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2853
Spain,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2153
France,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2505
Croatia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1690
Italy,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2467
Cyprus,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2153
Latvia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1518
Lithuania,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1444
Luxembourg,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,3639
Hungary,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1515
Malta,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2477
Netherlands,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2710
Poland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1860
Romania,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1798
Slovenia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1999
Slovakia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,1457
Finland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2683
Sweden,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),All ISCED 2011 levels,2829
