TIME,GEO,VALUE
2015-01,Belgium,97.2
2015-02,Belgium,99.56
2015-03,Belgium,99.82
2015-04,Belgium,100.11
2015-05,Belgium,100.43
2015-06,Belgium,100.6
2015-07,Belgium,99.27
2015-08,Belgium,100.58
2015-09,Belgium,100.36
2015-10,Belgium,100.62
2015-11,Belgium,100.7
2015-12,Belgium,100.74
2016-01,Belgium,98.99
2016-02,Belgium,100.67
2016-03,Belgium,101.46
2016-04,Belgium,101.65
2016-05,Belgium,102.04
2016-06,Belgium,102.4
2016-07,Belgium,101.3
2016-08,Belgium,102.59
2016-09,Belgium,102.15
2016-10,Belgium,102.56
2016-11,Belgium,102.46
2016-12,Belgium,102.96
2017-01,Belgium,102.03
2017-02,Belgium,104
2017-03,Belgium,103.99
2017-04,Belgium,104.35
2017-05,Belgium,104.02
2017-06,Belgium,103.95
2017-07,Belgium,103.13
2017-08,Belgium,104.64
2017-09,Belgium,104.15
2017-10,Belgium,104.44
2017-11,Belgium,104.61
2017-12,Belgium,105.08
2018-01,Belgium,103.82
2018-02,Belgium,105.53
2018-03,Belgium,105.56
2018-04,Belgium,106.01
2018-05,Belgium,106.38
2018-06,Belgium,106.68
2018-07,Belgium,105.93
2018-08,Belgium,107.41
2018-09,Belgium,107.1
2018-10,Belgium,107.8
2018-11,Belgium,107.63
2018-12,Belgium,107.39
2019-01,Belgium,105.69
2019-02,Belgium,107.62
2019-03,Belgium,107.86
2019-04,Belgium,108.11
2019-05,Belgium,108.16
2019-06,Belgium,108.09
2019-07,Belgium,107.21
2019-08,Belgium,108.34
2019-09,Belgium,107.7
2019-10,Belgium,108.01
2019-11,Belgium,108.02
2019-12,Belgium,108.38
2020-01,Belgium,107.17
2020-02,Belgium,108.74
2020-03,Belgium,108.32
2020-04,Belgium,108.1
2020-05,Belgium,107.92
2020-06,Belgium,108.33
2020-07,Belgium,109.05
2020-08,Belgium,107.38
2020-09,Belgium,108.21
2020-10,Belgium,108.47
2020-11,Belgium,108.27
2020-12,Belgium,108.76
2021-01,Belgium,107.82
2021-02,Belgium,109.08
2021-03,Belgium,110.07
2021-04,Belgium,110.32
2021-05,Belgium,110.62
2021-06,Belgium,111.11
2021-07,Belgium,110.58
2021-08,Belgium,112.41
2021-09,Belgium,112.35
2021-10,Belgium,114.33
2021-11,Belgium,115.95
2021-12,Belgium,115.93
2022-01,Belgium,116.99
2022-02,Belgium,119.49
2022-03,Belgium,120.28
2022-04,Belgium,120.61
2022-05,Belgium,121.61
2022-06,Belgium,122.82
2022-07,Belgium,122.03
2022-08,Belgium,124.24
