TIME,GEO,COFOG99,UNIT,VALUE
2000,BE,TOTAL,PC_GDP,49.4
2001,BE,TOTAL,PC_GDP,49.4
2002,BE,TOTAL,PC_GDP,49.9
2003,BE,TOTAL,PC_GDP,51
2004,BE,TOTAL,PC_GDP,49.3
2005,BE,TOTAL,PC_GDP,51.9
2006,BE,TOTAL,PC_GDP,48.8
2007,BE,TOTAL,PC_GDP,48.6
2008,BE,TOTAL,PC_GDP,50.8
2009,BE,TOTAL,PC_GDP,54.7
2010,BE,TOTAL,PC_GDP,53.9
2011,BE,TOTAL,PC_GDP,55.3
2012,BE,TOTAL,PC_GDP,56.5
2013,BE,TOTAL,PC_GDP,56.1
2014,BE,TOTAL,PC_GDP,55.6
2015,BE,TOTAL,PC_GDP,53.7
2016,BE,TOTAL,PC_GDP,53.1
2017,BE,TOTAL,PC_GDP,52
2018,BE,TOTAL,PC_GDP,52.3
2019,BE,TOTAL,PC_GDP,51.9
2020,BE,TOTAL,PC_GDP,58.8
2021,BE,TOTAL,PC_GDP,54.8
2022,BE,TOTAL,PC_GDP,53.2
2000,BG,TOTAL,PC_GDP,43
2001,BG,TOTAL,PC_GDP,40.6
2002,BG,TOTAL,PC_GDP,39.1
2003,BG,TOTAL,PC_GDP,38.6
2004,BG,TOTAL,PC_GDP,37.8
2005,BG,TOTAL,PC_GDP,36.7
2006,BG,TOTAL,PC_GDP,33.7
2007,BG,TOTAL,PC_GDP,37.7
2008,BG,TOTAL,PC_GDP,37.1
2009,BG,TOTAL,PC_GDP,39.3
2010,BG,TOTAL,PC_GDP,36.1
2011,BG,TOTAL,PC_GDP,33.7
2012,BG,TOTAL,PC_GDP,34.3
2013,BG,TOTAL,PC_GDP,37.8
2014,BG,TOTAL,PC_GDP,43.2
2015,BG,TOTAL,PC_GDP,40.4
2016,BG,TOTAL,PC_GDP,34.8
2017,BG,TOTAL,PC_GDP,34.8
2018,BG,TOTAL,PC_GDP,37
2019,BG,TOTAL,PC_GDP,36.3
2020,BG,TOTAL,PC_GDP,41.5
2021,BG,TOTAL,PC_GDP,41.7
2022,BG,TOTAL,PC_GDP,41.4
2000,CZ,TOTAL,PC_GDP,40.8
