TIME,GEO,DEG_URB,VALUE
2003,Belgium,Cities,26.4
2004,Belgium,Cities,25.7
2005,Belgium,Cities,24.1
2006,Belgium,Cities,23.9
2007,Belgium,Cities,23.5
2008,Belgium,Cities,22.5
2009,Belgium,Cities,22.4
2010,Belgium,Cities,22.7
2011,Belgium,Cities,21.9
2012,Belgium,Cities,24.8
2013,Belgium,Cities,31.9
2014,Belgium,Cities,26.9
2015,Belgium,Cities,25.7
2016,Belgium,Cities,23.8
2017,Belgium,Cities,21
2018,Belgium,Cities,21.2
2019,Belgium,Cities,20.4
2020,Belgium,Cities,19.8
2023,Belgium,Cities,23.2
2005,Bulgaria,Cities,36.2
2006,Bulgaria,Cities,36.2
2007,Bulgaria,Cities,38.7
2008,Bulgaria,Cities,34.1
2009,Bulgaria,Cities,37.4
2010,Bulgaria,Cities,34.8
2011,Bulgaria,Cities,35
2012,Bulgaria,Cities,36.8
2013,Bulgaria,Cities,32.2
2014,Bulgaria,Cities,33.4
2015,Bulgaria,Cities,33.7
2016,Bulgaria,Cities,33.5
2017,Bulgaria,Cities,30.8
2018,Bulgaria,Cities,28
2019,Bulgaria,Cities,27.8
2020,Bulgaria,Cities,26.6
2023,Bulgaria,Cities,22.4
2005,Czechia,Cities,23.7
2006,Czechia,Cities,23
2007,Czechia,Cities,21.3
2008,Czechia,Cities,22.1
2009,Czechia,Cities,28.9
2010,Czechia,Cities,24.8
2011,Czechia,Cities,22.7
2012,Czechia,Cities,19
2013,Czechia,Cities,17.5
2014,Czechia,Cities,20.1
2015,Czechia,Cities,17.4
2016,Czechia,Cities,17.3
2017,Czechia,Cities,15.8
2018,Czechia,Cities,12.5
2019,Czechia,Cities,13.7
2020,Czechia,Cities,10.5
2023,Czechia,Cities,12
2003,Denmark,Cities,14.2
2004,Denmark,Cities,19
2005,Denmark,Cities,19.6
2006,Denmark,Cities,18.3
2007,Denmark,Cities,19.5
2008,Denmark,Cities,22.1
2009,Denmark,Cities,25.7
2010,Denmark,Cities,20
2011,Denmark,Cities,21.9
2012,Denmark,Cities,16
2013,Denmark,Cities,15.6
2014,Denmark,Cities,15.8
2015,Denmark,Cities,12.2
2016,Denmark,Cities,13.9
2017,Denmark,Cities,13.1
2018,Denmark,Cities,13.2
2019,Denmark,Cities,12.8
2020,Denmark,Cities,11.1
2023,Denmark,Cities,10.9
2005,Germany,Cities,14.3
2006,Germany,Cities,18.7
2007,Germany,Cities,17.7
2008,Germany,Cities,19
2009,Germany,Cities,18.7
2010,Germany,Cities,17.5
2011,Germany,Cities,18.2
2012,Germany,Cities,21.4
2013,Germany,Cities,22.9
2014,Germany,Cities,22
2015,Germany,Cities,23.3
2016,Germany,Cities,22.4
2017,Germany,Cities,23.6
2018,Germany,Cities,23
2019,Germany,Cities,21.9
2020,Germany,Cities,14.3
2023,Germany,Cities,17.1
2004,Estonia,Cities,36.9
2005,Estonia,Cities,30.8
2006,Estonia,Cities,28.2
2007,Estonia,Cities,30.7
2008,Estonia,Cities,22.6
2009,Estonia,Cities,28.1
2010,Estonia,Cities,24
2011,Estonia,Cities,20.5
2012,Estonia,Cities,22.2
2013,Estonia,Cities,15.4
2014,Estonia,Cities,14.1
2015,Estonia,Cities,15
2016,Estonia,Cities,12.7
2017,Estonia,Cities,11
2018,Estonia,Cities,8.7
2019,Estonia,Cities,9.5
2020,Estonia,Cities,6.3
2023,Estonia,Cities,6.7
2003,Ireland,Cities,26
2004,Ireland,Cities,24.1
2005,Ireland,Cities,24.6
2006,Ireland,Cities,26
2007,Ireland,Cities,24
2008,Ireland,Cities,18.5
2009,Ireland,Cities,21
2010,Ireland,Cities,16.6
2011,Ireland,Cities,16.4
2012,Ireland,Cities,16.3
2013,Ireland,Cities,16.7
2014,Ireland,Cities,15.1
2015,Ireland,Cities,16.3
2016,Ireland,Cities,14.4
2017,Ireland,Cities,16.3
2018,Ireland,Cities,16.3
2019,Ireland,Cities,12.1
2020,Ireland,Cities,17.3
2003,Greece,Cities,14.8
2004,Greece,Cities,12.7
2005,Greece,Cities,14.3
2006,Greece,Cities,13.9
2007,Greece,Cities,18.1
2008,Greece,Cities,20.9
2009,Greece,Cities,25.7
2010,Greece,Cities,33.3
2011,Greece,Cities,28.1
2012,Greece,Cities,29.5
2013,Greece,Cities,28.4
2014,Greece,Cities,24.1
2015,Greece,Cities,19.6
2016,Greece,Cities,18.1
2017,Greece,Cities,22.1
2018,Greece,Cities,22.8
2019,Greece,Cities,27
2020,Greece,Cities,28.8
2023,Greece,Cities,26.9
2004,Spain,Cities,25.4
2005,Spain,Cities,25.1
2006,Spain,Cities,25.6
2007,Spain,Cities,21.6
2008,Spain,Cities,18.9
2009,Spain,Cities,20.4
2010,Spain,Cities,17.2
2011,Spain,Cities,13.2
2012,Spain,Cities,13.4
2013,Spain,Cities,19.3
2014,Spain,Cities,15.6
2015,Spain,Cities,13.8
2016,Spain,Cities,12.8
2017,Spain,Cities,12.2
2018,Spain,Cities,14.8
2019,Spain,Cities,16.4
2020,Spain,Cities,17.4
2023,Spain,Cities,16.6
2004,France,Cities,30.9
2005,France,Cities,24.9
2006,France,Cities,23.1
2007,France,Cities,23.4
2008,France,Cities,20.8
2009,France,Cities,22.6
2010,France,Cities,22.8
2011,France,Cities,22
2012,France,Cities,20
2013,France,Cities,23.7
2014,France,Cities,21.2
2015,France,Cities,19.9
2016,France,Cities,20.8
2017,France,Cities,19
2018,France,Cities,20.4
2019,France,Cities,22.1
2020,France,Cities,27
2023,France,Cities,23
2010,Croatia,Cities,9.4
2011,Croatia,Cities,6.6
2012,Croatia,Cities,6.8
2013,Croatia,Cities,6.6
2014,Croatia,Cities,6.7
2015,Croatia,Cities,7.6
2016,Croatia,Cities,6.7
2017,Croatia,Cities,6.2
2018,Croatia,Cities,4.6
2019,Croatia,Cities,4.2
2020,Croatia,Cities,3.4
2023,Croatia,Cities,2.6
2004,Italy,Cities,26.9
2005,Italy,Cities,25.1
2006,Italy,Cities,25.8
2007,Italy,Cities,27.4
2008,Italy,Cities,24
2009,Italy,Cities,25.7
2010,Italy,Cities,21.1
2011,Italy,Cities,21.7
2012,Italy,Cities,21.8
2013,Italy,Cities,22
2014,Italy,Cities,23.6
2015,Italy,Cities,29
2016,Italy,Cities,23.2
2017,Italy,Cities,18.8
2018,Italy,Cities,17.2
2019,Italy,Cities,13.9
2020,Italy,Cities,12.6
2023,Italy,Cities,10.6
2005,Cyprus,Cities,8.3
2006,Cyprus,Cities,13.7
2007,Cyprus,Cities,13.8
2008,Cyprus,Cities,10.6
2009,Cyprus,Cities,8.3
2010,Cyprus,Cities,14.9
2011,Cyprus,Cities,15.7
2012,Cyprus,Cities,16.7
2013,Cyprus,Cities,14.4
2014,Cyprus,Cities,13.6
2015,Cyprus,Cities,10.1
2016,Cyprus,Cities,12.4
2017,Cyprus,Cities,15.3
2018,Cyprus,Cities,15.8
2019,Cyprus,Cities,15.2
2020,Cyprus,Cities,8.6
2023,Cyprus,Cities,10.4
2005,Latvia,Cities,32.4
2006,Latvia,Cities,31
2007,Latvia,Cities,33.7
2008,Latvia,Cities,35.1
2009,Latvia,Cities,31.6
2010,Latvia,Cities,34
2011,Latvia,Cities,27.2
2012,Latvia,Cities,22.7
2013,Latvia,Cities,18.2
2014,Latvia,Cities,19.9
2015,Latvia,Cities,21.3
2016,Latvia,Cities,17.8
2017,Latvia,Cities,13.2
2018,Latvia,Cities,17.2
2019,Latvia,Cities,10.9
2020,Latvia,Cities,8.8
2023,Latvia,Cities,11.3
2005,Lithuania,Cities,14.1
2006,Lithuania,Cities,12
2007,Lithuania,Cities,13.1
2008,Lithuania,Cities,8.2
2009,Lithuania,Cities,10.7
2010,Lithuania,Cities,9.3
2011,Lithuania,Cities,8.7
2012,Lithuania,Cities,9.2
2013,Lithuania,Cities,10.1
2014,Lithuania,Cities,6.3
2015,Lithuania,Cities,7
