TIME,GEO,CURRENCY,TAX,NRG_CONS,VALUE
2021-S2,BE,EUR,X_VAT,TOT_KWH,0.2491
2022-S1,BE,EUR,X_VAT,TOT_KWH,0.3102
2022-S2,BE,EUR,X_VAT,TOT_KWH,0.4263
2023-S1,BE,EUR,X_VAT,TOT_KWH,0.4074
2023-S2,BE,EUR,X_VAT,TOT_KWH,0.3561
2024-S1,BE,EUR,X_VAT,TOT_KWH,0.3159
2021-S2,BG,EUR,X_VAT,TOT_KWH,0.0909
2022-S1,BG,EUR,X_VAT,TOT_KWH,0.0909
2022-S2,BG,EUR,X_VAT,TOT_KWH,0.0958
2023-S1,BG,EUR,X_VAT,TOT_KWH,0.0947
2023-S2,BG,EUR,X_VAT,TOT_KWH,0.0995
2024-S1,BG,EUR,X_VAT,TOT_KWH,0.0988
2021-S2,CZ,EUR,X_VAT,TOT_KWH,0.1642
2022-S1,CZ,EUR,X_VAT,TOT_KWH,0.1915
2022-S2,CZ,EUR,X_VAT,TOT_KWH,0.1137
2023-S1,CZ,EUR,X_VAT,TOT_KWH,0.2514
2023-S2,CZ,EUR,X_VAT,TOT_KWH,0.2504
2024-S1,CZ,EUR,X_VAT,TOT_KWH,0.2694
2021-S2,DK,EUR,X_VAT,TOT_KWH,0.2299
2022-S1,DK,EUR,X_VAT,TOT_KWH,0.3162
2022-S2,DK,EUR,X_VAT,TOT_KWH,0.4291
2023-S1,DK,EUR,X_VAT,TOT_KWH,0.3023
2023-S2,DK,EUR,X_VAT,TOT_KWH,0.2461
2024-S1,DK,EUR,X_VAT,TOT_KWH,0.2551
2021-S2,DE,EUR,X_VAT,TOT_KWH,0.2763
2022-S1,DE,EUR,X_VAT,TOT_KWH,0.2814
2022-S2,DE,EUR,X_VAT,TOT_KWH,0.2921
2023-S1,DE,EUR,X_VAT,TOT_KWH,0.3555
2023-S2,DE,EUR,X_VAT,TOT_KWH,0.3498
2024-S1,DE,EUR,X_VAT,TOT_KWH,0.3446
2021-S2,EE,EUR,X_VAT,TOT_KWH,0.1633
2022-S1,EE,EUR,X_VAT,TOT_KWH,0.1693
2022-S2,EE,EUR,X_VAT,TOT_KWH,0.1984
2023-S1,EE,EUR,X_VAT,TOT_KWH,0.1734
2023-S2,EE,EUR,X_VAT,TOT_KWH,0.1826
2024-S1,EE,EUR,X_VAT,TOT_KWH,0.1767
2020-S2,IE,EUR,X_VAT,TOT_KWH,0.2208
2021-S1,IE,EUR,X_VAT,TOT_KWH,0.2155
2021-S2,IE,EUR,X_VAT,TOT_KWH,0.2467
2022-S1,IE,EUR,X_VAT,TOT_KWH,0.2063
2022-S2,IE,EUR,X_VAT,TOT_KWH,0.2911
2023-S1,IE,EUR,X_VAT,TOT_KWH,0.2512
2023-S2,IE,EUR,X_VAT,TOT_KWH,0.3436
2024-S1,IE,EUR,X_VAT,TOT_KWH,0.3257
2021-S2,EL,EUR,X_VAT,TOT_KWH,0.1969
2022-S1,EL,EUR,X_VAT,TOT_KWH,0.2207
2022-S2,EL,EUR,X_VAT,TOT_KWH,0.2447
2023-S1,EL,EUR,X_VAT,TOT_KWH,0.2346
2023-S2,EL,EUR,X_VAT,TOT_KWH,0.2325
2024-S1,EL,EUR,X_VAT,TOT_KWH,0.2257
2021-S2,ES,EUR,X_VAT,TOT_KWH,0.2561
2022-S1,ES,EUR,X_VAT,TOT_KWH,0.2924
2022-S2,ES,EUR,X_VAT,TOT_KWH,0.3247
2023-S1,ES,EUR,X_VAT,TOT_KWH,0.2482
2023-S2,ES,EUR,X_VAT,TOT_KWH,0.2407
2024-S1,ES,EUR,X_VAT,TOT_KWH,0.2339
2021-S2,FR,EUR,X_VAT,TOT_KWH,0.1687
2022-S1,FR,EUR,X_VAT,TOT_KWH,0.1748
2022-S2,FR,EUR,X_VAT,TOT_KWH,0.1805
2023-S1,FR,EUR,X_VAT,TOT_KWH,0.1901
2023-S2,FR,EUR,X_VAT,TOT_KWH,0.2152
2024-S1,FR,EUR,X_VAT,TOT_KWH,0.2308
2021-S2,HR,EUR,X_VAT,TOT_KWH,0.1173
2022-S1,HR,EUR,X_VAT,TOT_KWH,0.122
2022-S2,HR,EUR,X_VAT,TOT_KWH,0.1321
2023-S1,HR,EUR,X_VAT,TOT_KWH,0.1378
2023-S2,HR,EUR,X_VAT,TOT_KWH,0.1366
2024-S1,HR,EUR,X_VAT,TOT_KWH,0.1363
2021-S2,IT,EUR,X_VAT,TOT_KWH,0.2377
2022-S1,IT,EUR,X_VAT,TOT_KWH,0.3056
2022-S2,IT,EUR,X_VAT,TOT_KWH,0.3594
2023-S1,IT,EUR,X_VAT,TOT_KWH,0.3725
2023-S2,IT,EUR,X_VAT,TOT_KWH,0.3287
2024-S1,IT,EUR,X_VAT,TOT_KWH,0.3291
2021-S2,CY,EUR,X_VAT,TOT_KWH,0.1955
2022-S1,CY,EUR,X_VAT,TOT_KWH,0.2342
2022-S2,CY,EUR,X_VAT,TOT_KWH,0.2856
2023-S1,CY,EUR,X_VAT,TOT_KWH,0.3187
2023-S2,CY,EUR,X_VAT,TOT_KWH,0.2966
2024-S1,CY,EUR,X_VAT,TOT_KWH,0.2772
2021-S2,LV,EUR,X_VAT,TOT_KWH,0.1621
2022-S1,LV,EUR,X_VAT,TOT_KWH,0.1457
2022-S2,LV,EUR,X_VAT,TOT_KWH,0.2491
2023-S1,LV,EUR,X_VAT,TOT_KWH,0.2613
2023-S2,LV,EUR,X_VAT,TOT_KWH,0.2512
2024-S1,LV,EUR,X_VAT,TOT_KWH,0.2269
2021-S2,LT,EUR,X_VAT,TOT_KWH,0.1241
2022-S1,LT,EUR,X_VAT,TOT_KWH,0.125
2022-S2,LT,EUR,X_VAT,TOT_KWH,0.2044
2023-S1,LT,EUR,X_VAT,TOT_KWH,0.2411
2023-S2,LT,EUR,X_VAT,TOT_KWH,0.1911
2024-S1,LT,EUR,X_VAT,TOT_KWH,0.1957
2021-S2,LU,EUR,X_VAT,TOT_KWH,0.176
2022-S1,LU,EUR,X_VAT,TOT_KWH,0.1785
2022-S2,LU,EUR,X_VAT,TOT_KWH,0.18
2023-S1,LU,EUR,X_VAT,TOT_KWH,0.1764
2023-S2,LU,EUR,X_VAT,TOT_KWH,0.1784
2024-S1,LU,EUR,X_VAT,TOT_KWH,0.1783
2021-S1,HU,EUR,X_VAT,TOT_KWH,0.0792
2021-S2,HU,EUR,X_VAT,TOT_KWH,0.0793
2022-S1,HU,EUR,X_VAT,TOT_KWH,0.0745
2022-S2,HU,EUR,X_VAT,TOT_KWH,0.086
2023-S1,HU,EUR,X_VAT,TOT_KWH,0.093
2023-S2,HU,EUR,X_VAT,TOT_KWH,0.0873
2024-S1,HU,EUR,X_VAT,TOT_KWH,0.0858
2021-S2,MT,EUR,X_VAT,TOT_KWH,0.1505
2022-S1,MT,EUR,X_VAT,TOT_KWH,0.1488
