TIME,GEO,FORD,SEX,PROF_POS,SECTPERF,VALUE
2002,BE,TOTAL,T,TOTAL,TOTAL,73187
2003,BE,TOTAL,T,TOTAL,TOTAL,73629
2004,BE,TOTAL,T,TOTAL,TOTAL,76340
2005,BE,TOTAL,T,TOTAL,TOTAL,78509
2006,BE,TOTAL,T,TOTAL,TOTAL,80538
2007,BE,TOTAL,T,TOTAL,TOTAL,83540
2008,BE,TOTAL,T,TOTAL,TOTAL,86746
2009,BE,TOTAL,T,TOTAL,TOTAL,88770
2010,BE,TOTAL,T,TOTAL,TOTAL,88803
2011,BE,TOTAL,T,TOTAL,TOTAL,94424
2013,BE,TOTAL,T,TOTAL,TOTAL,100423
2015,BE,TOTAL,T,TOTAL,TOTAL,113576
2017,BE,TOTAL,T,TOTAL,TOTAL,129002
2019,BE,TOTAL,T,TOTAL,TOTAL,148062
2021,BE,TOTAL,T,TOTAL,TOTAL,184224
2000,BG,TOTAL,T,TOTAL,TOTAL,16853
2001,BG,TOTAL,T,TOTAL,TOTAL,16671
2002,BG,TOTAL,T,TOTAL,TOTAL,16847
2003,BG,TOTAL,T,TOTAL,TOTAL,17400
2004,BG,TOTAL,T,TOTAL,TOTAL,18025
2005,BG,TOTAL,T,TOTAL,TOTAL,18638
2006,BG,TOTAL,T,TOTAL,TOTAL,18994
2007,BG,TOTAL,T,TOTAL,TOTAL,19933
2008,BG,TOTAL,T,TOTAL,TOTAL,20097
2009,BG,TOTAL,T,TOTAL,TOTAL,21971
2010,BG,TOTAL,T,TOTAL,TOTAL,20823
2011,BG,TOTAL,T,TOTAL,TOTAL,20810
2012,BG,TOTAL,T,TOTAL,TOTAL,21677
2013,BG,TOTAL,T,TOTAL,TOTAL,22307
2014,BG,TOTAL,T,TOTAL,TOTAL,25484
2015,BG,TOTAL,T,TOTAL,TOTAL,29591
2016,BG,TOTAL,T,TOTAL,TOTAL,32306
2017,BG,TOTAL,T,TOTAL,TOTAL,31221
2018,BG,TOTAL,T,TOTAL,TOTAL,34610
2019,BG,TOTAL,T,TOTAL,TOTAL,34986
2020,BG,TOTAL,T,TOTAL,TOTAL,35087
2021,BG,TOTAL,T,TOTAL,TOTAL,34613
2022,BG,TOTAL,T,TOTAL,TOTAL,37056
2000,CZ,TOTAL,T,TOTAL,TOTAL,53506
2001,CZ,TOTAL,T,TOTAL,TOTAL,51939
2002,CZ,TOTAL,T,TOTAL,TOTAL,53695
2003,CZ,TOTAL,T,TOTAL,TOTAL,55699
2004,CZ,TOTAL,T,TOTAL,TOTAL,60148
2005,CZ,TOTAL,T,TOTAL,TOTAL,65379
2006,CZ,TOTAL,T,TOTAL,TOTAL,69162
2007,CZ,TOTAL,T,TOTAL,TOTAL,73081
2008,CZ,TOTAL,T,TOTAL,TOTAL,74508
2009,CZ,TOTAL,T,TOTAL,TOTAL,75788
2010,CZ,TOTAL,T,TOTAL,TOTAL,77903
2011,CZ,TOTAL,T,TOTAL,TOTAL,82283
2012,CZ,TOTAL,T,TOTAL,TOTAL,87528
2013,CZ,TOTAL,T,TOTAL,TOTAL,92714
2014,CZ,TOTAL,T,TOTAL,TOTAL,97353
2015,CZ,TOTAL,T,TOTAL,TOTAL,100128
2016,CZ,TOTAL,T,TOTAL,TOTAL,99875
2017,CZ,TOTAL,T,TOTAL,TOTAL,107734
2018,CZ,TOTAL,T,TOTAL,TOTAL,113447
2019,CZ,TOTAL,T,TOTAL,TOTAL,117075
2020,CZ,TOTAL,T,TOTAL,TOTAL,118044
2021,CZ,TOTAL,T,TOTAL,TOTAL,121640
2022,CZ,TOTAL,T,TOTAL,TOTAL,122954
2000,DK,TOTAL,T,TOTAL,TOTAL,56068
2001,DK,TOTAL,T,TOTAL,TOTAL,59811
2002,DK,TOTAL,T,TOTAL,TOTAL,61915
2003,DK,TOTAL,T,TOTAL,TOTAL,60525
2004,DK,TOTAL,T,TOTAL,TOTAL,65994
2005,DK,TOTAL,T,TOTAL,TOTAL,67267
2006,DK,TOTAL,T,TOTAL,TOTAL,68335
2007,DK,TOTAL,T,TOTAL,TOTAL,68386
2008,DK,TOTAL,T,TOTAL,TOTAL,83883
2009,DK,TOTAL,T,TOTAL,TOTAL,83931
2010,DK,TOTAL,T,TOTAL,TOTAL,84562
2011,DK,TOTAL,T,TOTAL,TOTAL,85491
2012,DK,TOTAL,T,TOTAL,TOTAL,84999
2013,DK,TOTAL,T,TOTAL,TOTAL,85165
2014,DK,TOTAL,T,TOTAL,TOTAL,84387
2015,DK,TOTAL,T,TOTAL,TOTAL,86415
2016,DK,TOTAL,T,TOTAL,TOTAL,87349
2017,DK,TOTAL,T,TOTAL,TOTAL,83766
2018,DK,TOTAL,T,TOTAL,TOTAL,83350
2019,DK,TOTAL,T,TOTAL,TOTAL,86743
2020,DK,TOTAL,T,TOTAL,TOTAL,86574
2003,DE,TOTAL,T,TOTAL,TOTAL,664731
2005,DE,TOTAL,T,TOTAL,TOTAL,673414
2007,DE,TOTAL,T,TOTAL,TOTAL,721712
2009,DE,TOTAL,T,TOTAL,TOTAL,777327
2011,DE,TOTAL,T,TOTAL,TOTAL,835127
2013,DE,TOTAL,T,TOTAL,TOTAL,860842
2015,DE,TOTAL,T,TOTAL,TOTAL,915857
2017,DE,TOTAL,T,TOTAL,TOTAL,971157
2019,DE,TOTAL,T,TOTAL,TOTAL,1037952
2021,DE,TOTAL,T,TOTAL,TOTAL,1074176
2000,EE,TOTAL,T,TOTAL,TOTAL,6531
2001,EE,TOTAL,T,TOTAL,TOTAL,6818
2002,EE,TOTAL,T,TOTAL,TOTAL,6921
2003,EE,TOTAL,T,TOTAL,TOTAL,7600
2004,EE,TOTAL,T,TOTAL,TOTAL,7882
2005,EE,TOTAL,T,TOTAL,TOTAL,7955
2006,EE,TOTAL,T,TOTAL,TOTAL,8792
2007,EE,TOTAL,T,TOTAL,TOTAL,9276
2008,EE,TOTAL,T,TOTAL,TOTAL,9621
2009,EE,TOTAL,T,TOTAL,TOTAL,9904
2010,EE,TOTAL,T,TOTAL,TOTAL,10074
2011,EE,TOTAL,T,TOTAL,TOTAL,10131
2012,EE,TOTAL,T,TOTAL,TOTAL,10205
2013,EE,TOTAL,T,TOTAL,TOTAL,10284
2014,EE,TOTAL,T,TOTAL,TOTAL,10492
2015,EE,TOTAL,T,TOTAL,TOTAL,9889
2016,EE,TOTAL,T,TOTAL,TOTAL,9234
2017,EE,TOTAL,T,TOTAL,TOTAL,9593
2018,EE,TOTAL,T,TOTAL,TOTAL,9479
2019,EE,TOTAL,T,TOTAL,TOTAL,10334
2020,EE,TOTAL,T,TOTAL,TOTAL,11292
2021,EE,TOTAL,T,TOTAL,TOTAL,11802
2022,EE,TOTAL,T,TOTAL,TOTAL,12926
2000,IE,TOTAL,T,TOTAL,TOTAL,21094
2001,IE,TOTAL,T,TOTAL,TOTAL,24220
2002,IE,TOTAL,T,TOTAL,TOTAL,24486
2003,IE,TOTAL,T,TOTAL,TOTAL,25194
2004,IE,TOTAL,T,TOTAL,TOTAL,26584
2005,IE,TOTAL,T,TOTAL,TOTAL,28270
2006,IE,TOTAL,T,TOTAL,TOTAL,29954
2007,IE,TOTAL,T,TOTAL,TOTAL,30856
2008,IE,TOTAL,T,TOTAL,TOTAL,32551
2009,IE,TOTAL,T,TOTAL,TOTAL,33875
2010,IE,TOTAL,T,TOTAL,TOTAL,33630
2011,IE,TOTAL,T,TOTAL,TOTAL,36214
2012,IE,TOTAL,T,TOTAL,TOTAL,22702
2013,IE,TOTAL,T,TOTAL,TOTAL,47458
2015,IE,TOTAL,T,TOTAL,TOTAL,46752
2017,IE,TOTAL,T,TOTAL,TOTAL,50460
2019,IE,TOTAL,T,TOTAL,TOTAL,49962
2021,IE,TOTAL,T,TOTAL,TOTAL,55482
2001,EL,TOTAL,T,TOTAL,TOTAL,55626
2003,EL,TOTAL,T,TOTAL,TOTAL,56708
2005,EL,TOTAL,T,TOTAL,TOTAL,61454
2011,EL,TOTAL,T,TOTAL,TOTAL,70229
2013,EL,TOTAL,T,TOTAL,TOTAL,82684
2015,EL,TOTAL,T,TOTAL,TOTAL,96018
2017,EL,TOTAL,T,TOTAL,TOTAL,94560
2019,EL,TOTAL,T,TOTAL,TOTAL,103525
2020,EL,TOTAL,T,TOTAL,TOTAL,110134
2021,EL,TOTAL,T,TOTAL,TOTAL,115637
2022,EL,TOTAL,T,TOTAL,TOTAL,126114
2001,ES,TOTAL,T,TOTAL,TOTAL,209011
2002,ES,TOTAL,T,TOTAL,TOTAL,232019
2003,ES,TOTAL,T,TOTAL,TOTAL,249969
2004,ES,TOTAL,T,TOTAL,TOTAL,267943
2005,ES,TOTAL,T,TOTAL,TOTAL,282804
2006,ES,TOTAL,T,TOTAL,TOTAL,309893
2007,ES,TOTAL,T,TOTAL,TOTAL,331192
2008,ES,TOTAL,T,TOTAL,TOTAL,352611
2009,ES,TOTAL,T,TOTAL,TOTAL,358803
2010,ES,TOTAL,T,TOTAL,TOTAL,360229
2011,ES,TOTAL,T,TOTAL,TOTAL,353911
2012,ES,TOTAL,T,TOTAL,TOTAL,342901
2013,ES,TOTAL,T,TOTAL,TOTAL,333134
2014,ES,TOTAL,T,TOTAL,TOTAL,332871
2015,ES,TOTAL,T,TOTAL,TOTAL,338179
2016,ES,TOTAL,T,TOTAL,TOTAL,341809
2017,ES,TOTAL,T,TOTAL,TOTAL,354333
2018,ES,TOTAL,T,TOTAL,TOTAL,369291
2019,ES,TOTAL,T,TOTAL,TOTAL,377862
2020,ES,TOTAL,T,TOTAL,TOTAL,378296
2021,ES,TOTAL,T,TOTAL,TOTAL,398661
2022,ES,TOTAL,T,TOTAL,TOTAL,419649
2000,FR,TOTAL,T,TOTAL,TOTAL,381609
2001,FR,TOTAL,T,TOTAL,TOTAL,390631
2002,FR,TOTAL,T,TOTAL,TOTAL,409167
2003,FR,TOTAL,T,TOTAL,TOTAL,415061
2004,FR,TOTAL,T,TOTAL,TOTAL,424588
2005,FR,TOTAL,T,TOTAL,TOTAL,429387
2006,FR,TOTAL,T,TOTAL,TOTAL,452924
2007,FR,TOTAL,T,TOTAL,TOTAL,447391
2008,FR,TOTAL,T,TOTAL,TOTAL,471975
