TIME,GEO,VALUE
2023-11,BE,98.6
2023-12,BE,101
2024-01,BE,96.5
2024-02,BE,97.9
2024-03,BE,95.8
2024-04,BE,97.7
2024-05,BE,97.5
2024-06,BE,94.1
2024-07,BE,96.3
2024-08,BE,94.5
2024-09,BE,96.6
2024-10,BE,99.4
2023-11,BG,117.3
2023-12,BG,115.5
2024-01,BG,115.2
2024-02,BG,117.2
2024-03,BG,113.3
2024-04,BG,112.6
2024-05,BG,114.7
2024-06,BG,115.8
2024-07,BG,118.2
2024-08,BG,117.1
2024-09,BG,119
2024-10,BG,114.1
2023-11,CZ,96.9
2023-12,CZ,97.9
2024-01,CZ,94.8
2024-02,CZ,93.5
2024-03,CZ,91.9
2024-04,CZ,95.9
2024-05,CZ,95.1
2024-06,CZ,94
2024-07,CZ,92.2
2024-08,CZ,93.3
2024-09,CZ,98.6
2024-10,CZ,99.3
2023-11,DK,104.2
2023-12,DK,100.6
2024-01,DK,99.9
2024-02,DK,107.5
2024-03,DK,106.5
2024-04,DK,104.5
2024-05,DK,105.5
2024-06,DK,106.1
2024-07,DK,102.6
2024-08,DK,104.9
2024-09,DK,107.5
2024-10,DK,110.8
2023-11,DE,97.2
2023-12,DE,99.1
2024-01,DE,96.4
2024-02,DE,95.4
2024-03,DE,98.1
2024-04,DE,96.8
2024-05,DE,97
2024-06,DE,97
2024-07,DE,95.9
2024-08,DE,94.4
2024-09,DE,92.7
2024-10,DE,92.5
2023-11,EE,88.9
2023-12,EE,90.3
2024-01,EE,88.6
2024-02,EE,86.7
2024-03,EE,90.2
2024-04,EE,88.2
2024-05,EE,89.6
2024-06,EE,93
2024-07,EE,90.6
2024-08,EE,86.7
2024-09,EE,85.8
2024-10,EE,85.3
2023-11,EL,116.4
2023-12,EL,115.8
2024-01,EL,115.4
2024-02,EL,116.1
2024-03,EL,117.3
2024-04,EL,122.5
2024-05,EL,122.5
2024-06,EL,116.6
2024-07,EL,112.2
2024-08,EL,117
2024-09,EL,113.1
2024-10,EL,112.4
2023-11,ES,109.4
2023-12,ES,107.2
2024-01,ES,109
2024-02,ES,108.7
2024-03,ES,108
2024-04,ES,107.7
2024-05,ES,108.3
2024-06,ES,107
2024-07,ES,106.9
2024-08,ES,109.8
2024-09,ES,105.5
2024-10,ES,107.1
2023-11,FR,99.3
2023-12,FR,100
2024-01,FR,100.3
2024-02,FR,100.8
2024-03,FR,97.4
2024-04,FR,100.9
2024-05,FR,97.9
2024-06,FR,97.4
2024-07,FR,91.7
2024-08,FR,95.5
2024-09,FR,96.9
2024-10,FR,95
2023-11,HR,109.6
2023-12,HR,112.9
2024-01,HR,117.3
2024-02,HR,110.5
2024-03,HR,111.6
2024-04,HR,108.6
2024-05,HR,111.1
2024-06,HR,109.6
2024-07,HR,110.9
2024-08,HR,108.6
2024-09,HR,109.4
2024-10,HR,111.6
2023-11,IT,105.7
2023-12,IT,107.4
2024-01,IT,107.4
2024-02,IT,106.3
2024-03,IT,106.3
2024-04,IT,105.2
2024-05,IT,107.5
2024-06,IT,104.1
2024-07,IT,102.9
2024-08,IT,104
2024-09,IT,105.5
2024-10,IT,104.6
2023-11,CY,112.7
2023-12,CY,86.7
2024-01,CY,102.7
2024-02,CY,109.2
2024-03,CY,118.6
2024-04,CY,107.4
2024-05,CY,106.3
2024-06,CY,105.7
2024-07,CY,114.6
2024-08,CY,110.8
2024-09,CY,112.3
2024-10,CY,104.5
2023-11,LV,98.3
2023-12,LV,99.2
2024-01,LV,100.7
2024-02,LV,100.7
2024-03,LV,100.2
2024-04,LV,98.6
2024-05,LV,98.8
2024-06,LV,98.1
2024-07,LV,97.4
2024-08,LV,97.3
2024-09,LV,97.8
2024-10,LV,100.8
2023-11,LT,104.2
2023-12,LT,103.7
2024-01,LT,103.8
2024-02,LT,100.4
2024-03,LT,102.4
2024-04,LT,101.8
2024-05,LT,103.5
2024-06,LT,102.5
2024-07,LT,104.4
2024-08,LT,104.6
2024-09,LT,104.1
2024-10,LT,103.5
2023-11,LU,99.6
2023-12,LU,98.7
2024-01,LU,101.6
2024-02,LU,99.1
2024-03,LU,102.4
2024-04,LU,97.3
2024-05,LU,102.5
2024-06,LU,100.2
2024-07,LU,100
2024-08,LU,103.3
2024-09,LU,102.1
2024-10,LU,103.7
2023-11,HU,106.5
2023-12,HU,106.1
2024-01,HU,105.2
2024-02,HU,104.8
2024-03,HU,103.9
2024-04,HU,103.8
2024-05,HU,104.3
2024-06,HU,105.1
2024-07,HU,105
2024-08,HU,103
2024-09,HU,103.2
2024-10,HU,102.2
2023-11,MT,98.9
2023-12,MT,113.2
2024-01,MT,103.6
2024-02,MT,101.3
2024-03,MT,99.6
2024-04,MT,96.7
2024-05,MT,93.3
2024-06,MT,98
2024-07,MT,95.8
2024-08,MT,100.7
2024-09,MT,106.4
2024-10,MT,105.4
2023-11,NL,104.1
2023-12,NL,103.7
2024-01,NL,104.3
2024-02,NL,103.8
2024-03,NL,104.1
2024-04,NL,102.5
2024-05,NL,101.6
2024-06,NL,101.2
2024-07,NL,101.3
2024-08,NL,101.7
2024-09,NL,103.1
2024-10,NL,102.5
2023-11,AT,97.6
2023-12,AT,91.9
2024-01,AT,91.8
2024-02,AT,95.9
2024-03,AT,98
2024-04,AT,91
2024-05,AT,92.6
2024-06,AT,94
2024-07,AT,88.2
2024-08,AT,88.6
2024-09,AT,91.4
2024-10,AT,87.2
2023-11,PL,102.2
2023-12,PL,101.8
2024-01,PL,102.5
2024-02,PL,104
2024-03,PL,104.1
2024-04,PL,102.8
2024-05,PL,101.7
2024-06,PL,101.4
2024-07,PL,102
2024-08,PL,101.9
2024-09,PL,103
2024-10,PL,104.1
2023-11,PT,107.8
2023-12,PT,106.2
2024-01,PT,106.9
2024-02,PT,110.9
2024-03,PT,107.8
2024-04,PT,107.2
2024-05,PT,104.9
2024-06,PT,105.7
2024-07,PT,106.2
2024-08,PT,107
2024-09,PT,106.6
2024-10,PT,109.9
2023-11,RO,104.1
2023-12,RO,106.9
2024-01,RO,104.4
2024-02,RO,106.9
2024-03,RO,108.9
2024-04,RO,110
2024-05,RO,109.2
2024-06,RO,104.6
2024-07,RO,106.9
2024-08,RO,104.1
2024-09,RO,103.6
2024-10,RO,103.6
2023-11,SI,108.4
2023-12,SI,107.2
2024-01,SI,105.2
2024-02,SI,105.7
2024-03,SI,106.2
2024-04,SI,105.6
2024-05,SI,104.6
2024-06,SI,107.5
2024-07,SI,106.3
2024-08,SI,105.6
2024-09,SI,105.6
2024-10,SI,105.5
2023-11,SK,103.4
2023-12,SK,101.8
2024-01,SK,106
2024-02,SK,105.8
2024-03,SK,109.6
2024-04,SK,111.6
2024-05,SK,110
2024-06,SK,109.5
2024-07,SK,108.7
2024-08,SK,106.8
2024-09,SK,108.1
2024-10,SK,112.7
2023-11,FI,88.4
2023-12,FI,90.5
2024-01,FI,93.9
2024-02,FI,94.1
2024-03,FI,94.1
2024-04,FI,90.1
2024-05,FI,90
2024-06,FI,90.7
2024-07,FI,91.8
2024-08,FI,90.3
2024-09,FI,92
2024-10,FI,93.5
2023-11,SE,95.6
2023-12,SE,98.6
2024-01,SE,98.9
2024-02,SE,98.3
2024-03,SE,99.2
2024-04,SE,99.2
2024-05,SE,99.8
2024-06,SE,102.9
2024-07,SE,101.2
2024-08,SE,100
2024-09,SE,99.7
2024-10,SE,100.2
2023-11,ME,115.2
2023-12,ME,118.2
2024-01,ME,116.4
2024-02,ME,118.5
2024-03,ME,123.7
2024-04,ME,123.9
2024-05,ME,127
2024-06,ME,118
2024-07,ME,115.8
2024-08,ME,115.4
2024-09,ME,113.5
2024-10,ME,107.8
2023-11,MK,102.5
2023-12,MK,100.4
2024-01,MK,93.9
2024-02,MK,102
2024-03,MK,97.5
2024-04,MK,97.8
2024-05,MK,103.5
2024-06,MK,102.2
2024-07,MK,103.3
2024-08,MK,102.3
2024-09,MK,101.8
2024-10,MK,103.2
2023-11,AL,109.3
2023-12,AL,111.8
2024-01,AL,106.3
2024-02,AL,110
2024-03,AL,108.8
2024-04,AL,114.9
2024-05,AL,113.8
2024-06,AL,111.9
2024-07,AL,111.1
2024-08,AL,110.6
2024-09,AL,107.7
2024-10,AL,102.7
2023-11,RS,106.9
2023-12,RS,108.4
2024-01,RS,108
2024-02,RS,105.2
2024-03,RS,102.4
2024-04,RS,108.1
2024-05,RS,103.6
2024-06,RS,103
2024-07,RS,104.3
2024-08,RS,104.2
2024-09,RS,100.9
2024-10,RS,102.1
2023-11,TR,105.6
2023-12,TR,107.1
2024-01,TR,105.9
2024-02,TR,105
2024-03,TR,101.9
2024-04,TR,101.8
2024-05,TR,102.6
2024-06,TR,101.4
2024-07,TR,97.8
2024-08,TR,98.7
2024-09,TR,99.5
2024-10,TR,97.6
