TIME,GEO,VALUE
2000,Belgium,49.64
2001,Belgium,52.03
2002,Belgium,55.34
2003,Belgium,59.2
2004,Belgium,64.34
2005,Belgium,72.49
2006,Belgium,79.56
2007,Belgium,85.76
2008,Belgium,89.54
2009,Belgium,89.12
2010,Belgium,91.92
2011,Belgium,95.61
2012,Belgium,97.75
2013,Belgium,98.9
2014,Belgium,98.35
2015,Belgium,100
2016,Belgium,102.64
2017,Belgium,106.37
2018,Belgium,109.42
2019,Belgium,113.78
2020,Belgium,118.6
2021,Belgium,127.06
2001,Bulgaria,39.15
2002,Bulgaria,35.66
2003,Bulgaria,39.78
2004,Bulgaria,58.62
2005,Bulgaria,80.09
2006,Bulgaria,91.86
2007,Bulgaria,118.42
2008,Bulgaria,147.97
2009,Bulgaria,117.79
2010,Bulgaria,105.81
2011,Bulgaria,99.98
2012,Bulgaria,98.07
2013,Bulgaria,95.92
2014,Bulgaria,97.29
2015,Bulgaria,100
2016,Bulgaria,107.02
2017,Bulgaria,116.3
2018,Bulgaria,123.96
2019,Bulgaria,131.42
2020,Bulgaria,137.41
2021,Bulgaria,149.33
2000,Czechia,50.18
2001,Czechia,54.94
2002,Czechia,61.89
2003,Czechia,68.18
2004,Czechia,68.46
2005,Czechia,69.51
2006,Czechia,74.84
2007,Czechia,89.32
2008,Czechia,100.8
2009,Czechia,96.9
2010,Czechia,95.2
2011,Czechia,95.3
2012,Czechia,93.9
2013,Czechia,93.9
2014,Czechia,96.2
2015,Czechia,100
2016,Czechia,107.2
2017,Czechia,119.7
2018,Czechia,130
2019,Czechia,141.9
2020,Czechia,153.9
2021,Czechia,184.2
2000,Denmark,57.21
2001,Denmark,60.56
2002,Denmark,62.74
2003,Denmark,64.73
2004,Denmark,70.53
2005,Denmark,82.93
2006,Denmark,102.89
2007,Denmark,105.65
2008,Denmark,100.19
2009,Denmark,88.19
2010,Denmark,90.66
2011,Denmark,89.12
2012,Denmark,86.71
2013,Denmark,90.09
2014,Denmark,93.49
2015,Denmark,100
2016,Denmark,105.22
2017,Denmark,110
2018,Denmark,114.81
2019,Denmark,117.51
2020,Denmark,123.48
2021,Denmark,137.98
2000,Germany (until 1990 former territory of the FRG),84.35
2001,Germany (until 1990 former territory of the FRG),84.43
2002,Germany (until 1990 former territory of the FRG),83.26
2003,Germany (until 1990 former territory of the FRG),83.59
2004,Germany (until 1990 former territory of the FRG),82.33
2005,Germany (until 1990 former territory of the FRG),83.3
2006,Germany (until 1990 former territory of the FRG),83
2007,Germany (until 1990 former territory of the FRG),81.2
2008,Germany (until 1990 former territory of the FRG),82.3
2009,Germany (until 1990 former territory of the FRG),83
2010,Germany (until 1990 former territory of the FRG),83.9
2011,Germany (until 1990 former territory of the FRG),86.8
2012,Germany (until 1990 former territory of the FRG),89.8
2013,Germany (until 1990 former territory of the FRG),92.6
2014,Germany (until 1990 former territory of the FRG),95.5
2015,Germany (until 1990 former territory of the FRG),100
2016,Germany (until 1990 former territory of the FRG),107.5
2017,Germany (until 1990 former territory of the FRG),114.1
2018,Germany (until 1990 former territory of the FRG),121.7
2019,Germany (until 1990 former territory of the FRG),128.7
2020,Germany (until 1990 former territory of the FRG),138.7
2021,Germany (until 1990 former territory of the FRG),154.7
2005,Estonia,59.01
2006,Estonia,88.22
2007,Estonia,106.54
2008,Estonia,96.29
2009,Estonia,60.47
2010,Estonia,63.9
2011,Estonia,69.32
2012,Estonia,74.37
2013,Estonia,82.29
2014,Estonia,93.58
2015,Estonia,100
2016,Estonia,104.75
2017,Estonia,110.51
2018,Estonia,117.07
2019,Estonia,125.27
2020,Estonia,132.79
2021,Estonia,152.78
2000,Ireland,78.72
2001,Ireland,90.59
2002,Ireland,94.62
2003,Ireland,108.18
2004,Ireland,120.26
2005,Ireland,131.89
2006,Ireland,151.5
2007,Ireland,162.81
2008,Ireland,151.51
2009,Ireland,122.49
2010,Ireland,105.96
2011,Ireland,87.86
2012,Ireland,76.04
2013,Ireland,76.99
2014,Ireland,89.72
2015,Ireland,100
2016,Ireland,107.46
2017,Ireland,119.14
2018,Ireland,131.33
2019,Ireland,134.41
2020,Ireland,134.82
2021,Ireland,145.98
2000,Greece,87.64
2001,Greece,100.26
2002,Greece,114.16
2003,Greece,120.31
2004,Greece,123.09
2005,Greece,136.51
2006,Greece,154.58
2007,Greece,163.78
2008,Greece,166.54
2009,Greece,160.35
2010,Greece,152.88
2011,Greece,144.52
2012,Greece,127.67
2013,Greece,113.82
2014,Greece,105.32
2015,Greece,100
2016,Greece,97.62
2017,Greece,96.63
2018,Greece,98.38
2019,Greece,105.48
2020,Greece,110.22
2021,Greece,118.56
2000,Spain,60.55
2001,Spain,66.47
2002,Spain,76.7
2003,Spain,89.88
2004,Spain,105.22
2005,Spain,119.48
2006,Spain,135.5
2007,Spain,148.79
2008,Spain,146.66
2009,Spain,136.97
2010,Spain,134.55
2011,Spain,124.27
2012,Spain,105.9
2013,Spain,96.24
2014,Spain,96.54
2015,Spain,100
2016,Spain,104.62
2017,Spain,111.1
2018,Spain,118.58
2019,Spain,124.71
2020,Spain,127.5
2021,Spain,132.19
2000,France,48.8
2001,France,52.6
2002,France,57.2
2003,France,64
2004,France,73.7
2005,France,84.72
2006,France,94.51
2007,France,100.57
2008,France,101.52
2009,France,95.32
2010,France,99.74
2011,France,105.46
2012,France,104.88
2013,France,102.93
2014,France,101.36
2015,France,100
2016,France,101.04
2017,France,104.24
2018,France,107.29
2019,France,110.86
2020,France,116.62
2021,France,123.98
2000,Croatia,66.73
2001,Croatia,67.94
2002,Croatia,71.7
2003,Croatia,74.02
2004,Croatia,82.19
2005,Croatia,91.45
2006,Croatia,107.68
2007,Croatia,120.65
2008,Croatia,124.14
2009,Croatia,117.93
2010,Croatia,110.47
2011,Croatia,110.66
2012,Croatia,108.93
2013,Croatia,104.63
2014,Croatia,102.98
2015,Croatia,100
2016,Croatia,100.89
2017,Croatia,104.75
2018,Croatia,111.14
2019,Croatia,121.1
2020,Croatia,130.38
2021,Croatia,139.91
2000,Italy,71.99
2001,Italy,76.18
2002,Italy,85.25
2003,Italy,90.49
2004,Italy,96.07
2005,Italy,103.4
2006,Italy,109.33
2007,Italy,114.79
2008,Italy,117.82
2009,Italy,117.24
2010,Italy,118.1
2011,Italy,119.7
2012,Italy,116.7
2013,Italy,109.1
2014,Italy,104
2015,Italy,100
2016,Italy,100.3
2017,Italy,99.2
2018,Italy,98.6
2019,Italy,98.5
2020,Italy,100.4
2021,Italy,103
2002,Cyprus,81.74
2003,Cyprus,82.76
2004,Cyprus,91.34
2005,Cyprus,97.06
2006,Cyprus,108.57
2007,Cyprus,121.32
2008,Cyprus,128.17
2009,Cyprus,119.76
2010,Cyprus,112.9
2011,Cyprus,111.09
2012,Cyprus,107.7
2013,Cyprus,103.29
2014,Cyprus,101.47
2015,Cyprus,100
2016,Cyprus,100.27
2017,Cyprus,102.52
2018,Cyprus,104.32
2019,Cyprus,108.2
2020,Cyprus,107.98
2021,Cyprus,104.33
2000,Latvia,29.33
2001,Latvia,29.41
2002,Latvia,43.15
2003,Latvia,52.87
2004,Latvia,54.31
2005,Latvia,67.33
2006,Latvia,104.48
2007,Latvia,142.37
2008,Latvia,143.94
2009,Latvia,90.24
2010,Latvia,80.35
2011,Latvia,88.73
2012,Latvia,91.36
2013,Latvia,97.62
2014,Latvia,103.48
2015,Latvia,100
2016,Latvia,108.49
2017,Latvia,118.01
2018,Latvia,129.3
2019,Latvia,140.88
2020,Latvia,145.77
2021,Latvia,161.65
2000,Lithuania,41.43
2001,Lithuania,46.65
2002,Lithuania,49.26
