TIME,GEO,VALUE
2012,BE,1.14
2013,BE,1.14
2014,BE,1.22
2015,BE,1.13
2016,BE,1.18
2017,BE,1.27
2018,BE,1.22
2019,BE,1.33
2020,BE,1.25
2021,BE,1.31
2022,BE,1.3
2023,BE,1.17
2012,BG,0.7
2013,BG,0.65
2014,BG,0.57
2015,BG,0.59
2016,BG,0.57
2017,BG,0.6
2018,BG,0.55
2019,BG,0.61
2020,BG,0.57
2021,BG,0.56
2022,BG,0.53
2023,BG,0.57
2012,CZ,1.43
2013,CZ,1.51
2014,CZ,1.47
2015,CZ,1.43
2016,CZ,1.47
2017,CZ,1.54
2018,CZ,1.52
2019,CZ,1.51
2020,CZ,1.41
2021,CZ,1.35
2022,CZ,1.27
2023,CZ,1.15
2012,DK,1.73
2013,DK,1.83
2014,DK,1.81
2015,DK,1.84
2016,DK,1.72
2017,DK,1.75
2018,DK,1.76
2019,DK,1.8
2020,DK,1.82
2021,DK,1.82
2022,DK,1.82
2023,DK,1.86
2012,DE,1.95
2013,DE,2.01
2014,DE,1.97
2015,DE,1.99
2016,DE,2.04
2017,DE,2.09
2018,DE,2.13
2019,DE,2.17
2020,DE,2.16
2021,DE,2.2
2022,DE,2.24
2023,DE,2.23
2012,EE,2.07
2013,EE,2.12
2014,EE,1.87
2015,EE,1.72
2016,EE,1.69
2017,EE,1.53
2018,EE,1.79
2019,EE,1.6
2020,EE,1.52
2021,EE,1.65
2022,EE,1.82
2023,EE,2.03
2012,IE,1.01
2013,IE,0.99
2014,IE,0.99
2015,IE,0.96
2016,IE,0.95
2017,IE,0.95
2018,IE,0.92
2019,IE,0.93
2020,IE,0.85
2021,IE,0.9
2022,IE,0.9
2023,IE,0.93
2012,EL,0.68
2013,EL,0.75
2014,EL,0.86
2015,EL,0.96
2016,EL,1.08
2017,EL,1.03
2018,EL,1.27
2019,EL,1.46
2020,EL,1.47
2021,EL,1.48
2022,EL,1.4
2023,EL,1.15
2012,ES,1.21
2013,ES,1.2
2014,ES,1.23
2015,ES,1.27
2016,ES,1.28
2017,ES,1.25
2018,ES,1.25
2019,ES,1.23
2020,ES,1.2
2021,ES,1.23
2022,ES,1.25
2023,ES,1.29
2012,FR,1.25
2013,FR,1.21
2014,FR,1.18
2015,FR,1.12
2016,FR,1.1
2017,FR,1.12
2018,FR,1.17
2019,FR,1.14
2020,FR,1.11
2021,FR,1.18
2022,FR,1.15
2023,FR,1.14
2012,HR,1.51
2013,HR,1.26
2014,HR,1.43
2015,HR,1.66
2016,HR,1.58
2017,HR,1.6
2018,HR,1.66
2019,HR,1.65
2020,HR,1.45
2021,HR,1.47
2022,HR,1.47
2023,HR,1.39
2012,IT,1.07
2013,IT,1.03
2014,IT,1.02
2015,IT,1.01
2016,IT,1.05
2017,IT,1.04
2018,IT,1.05
2019,IT,1.13
2020,IT,1.17
2021,IT,1.14
2022,IT,1.16
2023,IT,1.16
2012,CY,0.85
2013,CY,0.78
2014,CY,0.72
2015,CY,0.82
2016,CY,0.84
2017,CY,0.84
2018,CY,0.73
2019,CY,0.9
2020,CY,1.2
2021,CY,1.06
2022,CY,1.07
2023,CY,1.15
